name,summary,currency,sector,industry_group,industry,exchange,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi
BancFirst Corporation,"BancFirst Corporation operates as the bank holding company for BancFirst that provides a range of commercial banking services to retail customers, and small to medium-sized businesses. It operates through Metropolitan Banks, Community Banks, Pegasus Bank, and Other Financial Services segments. The company offers checking accounts, negotiable order of withdrawal accounts, savings accounts, money market accounts, sweep accounts, club accounts, individual retirement accounts, and certificates of deposit, as well as overdraft protection and auto draft services. It also provides commercial, financial, and other loans for working capital, facilities acquisition or expansion, purchase of equipment, and other needs; lending services that include private banking, energy, commercial and residential real estate, and commercial and industrial loans; and loans to finance purchases of consumer goods, such as automobiles, boats, household goods, vacations, and education. In addition, the company engages in the investment management and administration of trusts for individuals, corporations, and employee benefit plans, as well as bond trustee and paying agent business for various Oklahoma municipalities and governmental entities; and provision of item processing, research, and other correspondent banking services. Further, it is involved in real estate investment and insurance agency services; and providing funds transfer, collection, safe deposit box, cash management, retail brokerage, and other services for individual and corporate customers. The company serves customers in non-metropolitan trade centers and cities in the metropolitan statistical areas of Oklahoma. It operates through 106 banking locations in Oklahoma and 3 banking locations in Dallas, Texas. The company was formerly known as United Community Corporation and changed its name to BancFirst Corporation in November 1988. BancFirst Corporation was incorporated in 1984 and is headquartered in Oklahoma City, Oklahoma.",USD,Financials,Banks,Banks,NMS,NASDAQ Global Select,United States,OK,Oklahoma City,73102,http://www.bancfirst.bank,Mid Cap,,,,,
Banner Corporation,"Banner Corporation operates as the bank holding company for Banner Bank that provide commercial banking and financial products and services to individuals, businesses, and public sector entities in the United States. It accepts various deposit instruments, including interest-bearing and non-interest-bearing checking accounts, money market deposit accounts, regular savings accounts, and certificates of deposit, as well as treasury management services and retirement savings plans. The company also provides commercial real estate loans, including owner-occupied, investment properties, and multifamily residential real estate loans; construction, land, and land development loans; residential mortgage loans; commercial business loans; agricultural loans; and consumer and other loans, such as home equity lines of credit, automobile, and boat and recreational vehicle loans, as well as loans secured by deposit accounts. In addition, it engages in the mortgage banking operations through the origination and sale of one-to four-family and multi-family residential loans, as well as small business administration loans. Further, the company provides electronic and digital banking services. As of December 31, 2020, it operated 155 branch offices, including 152 Banner Bank branches and three Islanders Bank branches located in Washington, Oregon, California, and Idaho. It also operates 18 Banner Bank loan production offices located in Washington, Oregon, California, Idaho, and Utah. Banner Corporation was founded in 1890 and is headquartered in Walla Walla, Washington.",USD,Financials,Banks,Banks,NMS,NASDAQ Global Select,United States,WA,Walla Walla,99362,http://www.bannerbank.com,Mid Cap,,,,,
Credicorp Ltd.,"Credicorp Ltd., a financial services holding company, provides various financial, insurance, and health services and products primarily in Peru and internationally. The company's Universal Banking segment offers deposits and current accounts, and various credits and financial instruments to individuals and legal entities. Its Insurance and Pensions segment issues insurance policies to cover losses in commercial property, transportation, marine vessels, automobile, life, health, and pensions, as well as provides private pension fund management services. The company's Microfinance segment manages loans, credits, deposits, and current accounts of the small and microenterprises. Its Investment Banking and Wealth Management segment offers its services to corporations, institutional investors, governments, and foundations; engages in structuring and placement of issues in the primary market, as well as the execution and negotiation of operations in the secondary market; and structures securitization processes for corporate customers and manages mutual funds. The company was founded in 1889 and is headquartered in Lima, Peru.",USD,Financials,Banks,Banks,NYQ,New York Stock Exchange,Peru,,Lima,12,http://www.grupocredicorp.com,Large Cap,BMG2519Y1084,,BBG000FKXBN2,BBG000FKX7Z8,BBG001S8L8P1
The Liberty Braves Group,"The Liberty Braves Group, through its subsidiary, Braves Holdings, LLC, owns the Atlanta Braves Major League Baseball Club (ANLBC), assets and liabilities associated with ANLBC's stadium, and mixed use development project. The company is based in Englewood, Colorado. The Liberty Braves Group is a subsidiary of Liberty Media Corporation.",USD,Communication Services,Media & Entertainment,Entertainment,NMS,NASDAQ Global Select,United States,CO,Englewood,80112,http://www.libertymedia.com/companies/braves-group.html,Mid Cap,US5312298889,531229888,,,
The Liberty Braves Group,"The Liberty Braves Group, through its subsidiary, Braves Holdings, LLC, owns the Atlanta Braves Major League Baseball Club (ANLBC), assets and liabilities associated with ANLBC's stadium, and mixed use development project. The company is based in Englewood, Colorado. The Liberty Braves Group is a subsidiary of Liberty Media Corporation.",USD,Communication Services,Media & Entertainment,Entertainment,NMS,NASDAQ Global Select,United States,CO,Englewood,80112,http://www.libertymedia.com/companies/braves-group.html,Mid Cap,US5312298889,531229888,BBG00BFHD6B1,BBG00BFHD5R6,BBG00BFHD5S5
Baxter International Inc.,"Baxter International Inc., through its subsidiaries, develops and provides a portfolio of healthcare products worldwide. The company offers peritoneal dialysis and hemodialysis, and additional dialysis therapies and services; renal replacement therapies and other organ support therapies focused in the intensive care unit; sterile intravenous (IV) solutions, IV therapies, infusion pumps, administration sets, and drug reconstitution devices; and parenteral nutrition therapies. It also provides biological products and medical devices, and surgical hemostat and sealant products used in surgical procedures for hemostasis, tissue sealing, and adhesion prevention; premixed and oncology drug platforms, inhaled anesthesia and critical care products, and pharmacy compounding services; and generic injectable pharmaceuticals. Its products are used in hospitals, kidney dialysis centers, nursing homes, rehabilitation centers, doctors' offices, and patients at home under physician supervision. The company sells its products through direct sales force, as well as through independent distributors, drug wholesalers, and specialty pharmacy or other alternate site providers in approximately 100 countries. It has an agreement with Celerity Pharmaceutical, LLC to develop acute care generic injectable premix and oncolytic molecules. Baxter International Inc. was founded in 1931 and is headquartered in Deerfield, Illinois.",USD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,NYQ,New York Stock Exchange,United States,IL,Deerfield,60015,http://www.baxter.com,Large Cap,US0718131099,71813109,BBG000BCVLK7,BBG000BCVJ77,BBG001S5P1K3
Banco BBVA Argentina S.A.,"Banco BBVA Argentina S.A. provides various banking products and services to individuals and companies in Argentina. It provides retail banking products and services, such as checking and savings accounts, time deposits, credit cards, personal and secured loans (primarily automobile loans), mortgages, insurance, and investment products to individuals; and small and medium-sized companies products and services, such as financing products, factoring, checking accounts, time deposits, transactional and payroll services, insurance, and investment products to private-sector companies. The company also provides corporate and investment banking products and services, such as global transaction services; global markets solutions, such as risk management and securities brokerage; long term financing products, including project finance and syndicated loans; corporate finance services comprising mergers and acquisitions; and capital markets advisory services to corporations and multinational companies operating in Argentina. As of December 31, 2020, it operated a network of 247 branches, 15 in-company branches, 7 point of sale outlet, 2 point of express support, 888 ATMs, and 857 self-service terminals, as well as a telephone banking and Internet banking services. The company was formerly known as BBVA Banco FrancÃ©s S.A. and changed its name to Banco BBVA Argentina S.A. in July 2019. Banco BBVA Argentina S.A. was founded in 1886 and is based in Buenos Aires, Argentina.",USD,Financials,Banks,Banks,NYQ,New York Stock Exchange,Argentina,,Buenos Aires,C1054AAA,http://www.bbva.com.ar,Mid Cap,US0589341009,58934100,BBG000BLLSF9,BBG000BLLR07,BBG001S62B15
Banco Bradesco S.A.,"Banco Bradesco S.A., together with its subsidiaries, provides various banking products and services to individuals, corporates, and businesses in Brazil and internationally. The company operates through The Banking, and The Insurance. The company offers leasing, investment banking, brokerage, and consortium management services, overdrafts, as well as credit cards, real estate products, pension plans, and capitalization bonds. It also provides health, life, and personal accident insurance products. Banco Bradesco S.A. was founded in 1943 and is headquartered in Osasco, Brazil.",USD,Financials,Banks,Banks,NYQ,New York Stock Exchange,Brazil,SP,Osasco,06029-900,http://banco.bradesco,Large Cap,,,BBG000BS6Y13,BBG000BS6WW3,BBG001SF7657
Banco Bradesco S.A.,"Banco Bradesco S.A., together with its subsidiaries, provides various banking products and services to individuals, corporates, and businesses in Brazil and internationally. The company operates through The Banking, and The Insurance. The company offers leasing, investment banking, brokerage, and consortium management services, overdrafts, as well as credit cards, real estate products, pension plans, and capitalization bonds. It also provides health, life, and personal accident insurance products. Banco Bradesco S.A. was founded in 1943 and is headquartered in Osasco, Brazil.",USD,Financials,Banks,Banks,NYQ,New York Stock Exchange,Brazil,SP,Osasco,06029-900,http://banco.bradesco,Large Cap,,,,,
"BridgeBio Pharma, Inc.","BridgeBio Pharma, Inc. engages in the discovery, development, and delivery of various medicines for genetic diseases. The company has a pipeline of 30 development programs that include product candidates ranging from early discovery to late-stage development. Its products in development programs include BBP-265, a small molecule stabilizer of transthyretin, or TTR, that is in an ongoing Phase 3 clinical trial for the treatment of TTR amyloidosis-cardiomyopathy, or ATTR-CM; BBP-831, a small molecule selective FGFR1-3 inhibitor which is an ongoing Phase 2 clinical trial for the treatment of achondroplasia in pediatric patients; an AAV5 gene transfer product candidate for the treatment of congenital adrenal hyperplasia, or CAH, driven by 21-hydroxylase deficiency, or 21OHD; and Encaleret, a small molecule antagonist of the calcium sensing receptor, or CaSR, an ongoing phase 2 proof-of-concept clinical trial for Autosomal Dominant Hypocalcemia Type 1, or ADH1. The company also engages in developing products for Mendelian, genetic dermatology, oncology, and gene therapy diseases. BridgeBio Pharma, Inc. has license and collaboration agreements with the Leland Stanford Junior University; The Regents of the University of California; Leidos Biomedical Research, Inc.; the University of California, San Diego; Johns Hopkins University and University of Florida; University of Colorado Anschutz Medical Campus; Salk Institute for Biological Studies; Maze Therapeutics; UC San Francisco; the Canadian Glycomics Network (GlycoNet); and the University of California, Davis. The company was founded in 2015 and is headquartered in Palo Alto, California.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NMS,NASDAQ Global Select,United States,CA,Palo Alto,94301,http://www.bridgebio.com,Mid Cap,US10806X1028,10806X102,BBG00PF2LY41,BBG00P9KDZK6,BBG00P9KDZL5
BHP Group,"BHP Group engages in the natural resources business in Australia, Europe, China, Japan, India, South Korea, rest of Asia, North America, South America, and internationally. It operates through Petroleum, Copper, Iron Ore, and Coal segments. The company engages in the exploration, development, and production of oil and gas properties; and mining of copper, silver, zinc, molybdenum, uranium, gold, iron ore, and metallurgical and energy coal. It is also involved in mining, smelting, and refining of nickel; the provision of towing, freight, marketing and trading, marketing support, finance, administrative, and other services; and potash development activities. The company was founded in 1851 and is headquartered in Melbourne, Australia.",USD,Materials,Materials,Metals & Mining,NYQ,New York Stock Exchange,Australia,VIC,Melbourne,3000,http://www.bhp.com,Large Cap,AU000000BHP4,,,,
Brookfield Business Partners L.P.,"Brookfield Business Partners L.P. is a private equity firm specializes in acquisition. The firm typically invests in business services, construction, energy, and industrials sector. It prefers to take majority stake in companies. The firm seeks returns of at least 15% on its investments. Brookfield Business Partners L.P. is based in Hamilton, Bermuda. Brookfield Business Partners L.P. operates as a subsidiary of Brookfield Asset Management Inc.",USD,Industrials,Capital Goods,Industrial Conglomerates,NYQ,New York Stock Exchange,Bermuda,,Hamilton,HM 12,http://bbu.brookfield.com,Mid Cap,,,,,
"Banco Bilbao Vizcaya Argentaria, S.A.","Banco Bilbao Vizcaya Argentaria, S.A., together with its subsidiaries, provides retail banking, wholesale banking, asset management, and private banking services. It offers current accounts; and demand, savings, overnight, time, term, and subordinated deposits. The company also provides loan products; deals in securities; and manages pension funds. In addition, it offers credit cards; corporate and investment banking services; insurance products and services; and real estate services. The company provides its products through online and mobile channels. As of December 31, 2020, it operated through a network of 7,432 branches and 31, 000 ATMs in approximately 30 countries. It operates in Spain, Mexico, South America, the United States, Turkey, the Asia-Pacific, and rest of Europe. Banco Bilbao Vizcaya Argentaria, S.A. was founded in 1857 and is headquartered in Bilbao, Spain.",USD,Financials,Banks,Banks,NYQ,New York Stock Exchange,Spain,,Bilbao,48005,http://www.bbva.com,Large Cap,ES0113211835,,BBG000BXD4Z3,BBG000BXD232,BBG001S5XP76
"Best Buy Co., Inc.","Best Buy Co., Inc. retails technology products in the United States and Canada. The company operates in two segments, Domestic and International. Its stores provide computing and mobile phones, such as computing covering desktops, notebooks, and peripherals; mobile phones comprising related mobile network carrier commissions, networking products, tablets covering e-readers, and wearables, such as smartwatches; and consumer electronics consisting of digital imaging, health and fitness, home theater, portable audio comprising headphones and portable speakers, and smart home products. The company's stores also offer appliances, such as dishwashers, laundry appliances, ovens, refrigerators, blenders, coffee makers, and vacuums; entertainment products consisting of drones, peripherals, movies, music, and toys, as well as gaming hardware and software, and virtual reality and other software products; and other products, such as beverages, snacks, and sundry items, as well as baby products, furniture, luggage, and sporting goods. In addition, it provides consultation, delivery, design, installation, memberships, protection plans, repair, set-up, and technical support services, as well as connected health services for aging consumers. The company offers its products through stores and websites under the BestBuy, Best Buy Business, Best Buy Express, Best Buy Health, CST, Geek Squad, GreatCall, Lively, Magnolia, Pacific Kitchen, and Home, as well as the domain names bestbuy.com and greatcall.com. As of January 30, 2021, it had 1,126 large-format and 33 small-format stores. The company was formerly known as Sound of Music, Inc. Best Buy Co., Inc. was incorporated in 1966 and is headquartered in Richfield, Minnesota.",USD,Consumer Discretionary,Retailing,Specialty Retail,NYQ,New York Stock Exchange,United States,MN,Richfield,55423,http://investors.bestbuy.com/investor-relations/overview/default.aspx,Large Cap,US0865161014,86516101,BBG000BCWFH3,BBG000BCWCG1,BBG001S5P285
Brunswick Corporation,"Brunswick Corporation designs, manufactures, and markets recreation products worldwide. It operates through Propulsion; Parts & Accessories; and Boat segments. The Propulsion segment provides outboard, sterndrive, and inboard engines for independent boat builders and governments through marine dealers and distributors, specialty marine retailers, and marine service centers; and propulsion-related controls, rigging, and propellers to original equipment manufacturers and aftermarket retailers, distributors, and distribution businesses. This segment offers its products under the Mercury Marine, Mercury, Mercury MerCruiser, Mariner, Mercury Racing, and Mercury Diesel brands. The Parts & Accessories segment provides engine parts and consumables, electrical products, boat parts and systems, engine oils and lubricants, marine electronics and control systems, instruments, trolling motors, fuel systems, and electrical systems, as well as specialty vehicle, mobile, and transportation aftermarket products for aftermarket retailers, distributors, and distribution businesses, as well for as for the original equipment manufacturers in marine and non-marine markets; and supplies parts and accessories through the distribution business. This segment offers its products under the under the Mercury, Mercury Precision Parts, Quicksilver, and Seachoice brands. The Boat segment provides Sea Ray sport boats and cruisers; Bayliner sport cruisers and runabouts; Boston Whaler fiberglass offshore boats; Lund fiberglass fishing boats; Crestliner, Cypress Cay, Harris, Lowe, Lund, and Princecraft aluminum fishing, utility, pontoon, and deck boats; Heyday tow/wake boats; and Thunder Jet heavy-gauge aluminum boats, as well as shared access boat club and dealer services to the marine industry through dealers and distributors. Brunswick Corporation was founded in 1845 and is headquartered in Mettawa, Illinois.",USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",NYQ,New York Stock Exchange,United States,IL,Mettawa,60045-3420,http://www.brunswick.com,Mid Cap,,,BBG000BCWW77,BBG000BCWSS3,BBG001S5P294
Brunswick Corporation,"Brunswick Corporation designs, manufactures, and markets recreation products worldwide. It operates through Propulsion; Parts & Accessories; and Boat segments. The Propulsion segment provides outboard, sterndrive, and inboard engines for independent boat builders and governments through marine dealers and distributors, specialty marine retailers, and marine service centers; and propulsion-related controls, rigging, and propellers to original equipment manufacturers and aftermarket retailers, distributors, and distribution businesses. This segment offers its products under the Mercury Marine, Mercury, Mercury MerCruiser, Mariner, Mercury Racing, and Mercury Diesel brands. The Parts & Accessories segment provides engine parts and consumables, electrical products, boat parts and systems, engine oils and lubricants, marine electronics and control systems, instruments, trolling motors, fuel systems, and electrical systems, as well as specialty vehicle, mobile, and transportation aftermarket products for aftermarket retailers, distributors, and distribution businesses, as well for as for the original equipment manufacturers in marine and non-marine markets; and supplies parts and accessories through the distribution business. This segment offers its products under the under the Mercury, Mercury Precision Parts, Quicksilver, and Seachoice brands. The Boat segment provides Sea Ray sport boats and cruisers; Bayliner sport cruisers and runabouts; Boston Whaler fiberglass offshore boats; Lund fiberglass fishing boats; Crestliner, Cypress Cay, Harris, Lowe, Lund, and Princecraft aluminum fishing, utility, pontoon, and deck boats; Heyday tow/wake boats; and Thunder Jet heavy-gauge aluminum boats, as well as shared access boat club and dealer services to the marine industry through dealers and distributors. Brunswick Corporation was founded in 1845 and is headquartered in Mettawa, Illinois.",USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",NYQ,New York Stock Exchange,United States,IL,Mettawa,60045-3420,http://www.brunswick.com,Mid Cap,,,,,
Brunswick Corporation,"Brunswick Corporation designs, manufactures, and markets recreation products worldwide. It operates through Propulsion; Parts & Accessories; and Boat segments. The Propulsion segment provides outboard, sterndrive, and inboard engines for independent boat builders and governments through marine dealers and distributors, specialty marine retailers, and marine service centers; and propulsion-related controls, rigging, and propellers to original equipment manufacturers and aftermarket retailers, distributors, and distribution businesses. This segment offers its products under the Mercury Marine, Mercury, Mercury MerCruiser, Mariner, Mercury Racing, and Mercury Diesel brands. The Parts & Accessories segment provides engine parts and consumables, electrical products, boat parts and systems, engine oils and lubricants, marine electronics and control systems, instruments, trolling motors, fuel systems, and electrical systems, as well as specialty vehicle, mobile, and transportation aftermarket products for aftermarket retailers, distributors, and distribution businesses, as well for as for the original equipment manufacturers in marine and non-marine markets; and supplies parts and accessories through the distribution business. This segment offers its products under the under the Mercury, Mercury Precision Parts, Quicksilver, and Seachoice brands. The Boat segment provides Sea Ray sport boats and cruisers; Bayliner sport cruisers and runabouts; Boston Whaler fiberglass offshore boats; Lund fiberglass fishing boats; Crestliner, Cypress Cay, Harris, Lowe, Lund, and Princecraft aluminum fishing, utility, pontoon, and deck boats; Heyday tow/wake boats; and Thunder Jet heavy-gauge aluminum boats, as well as shared access boat club and dealer services to the marine industry through dealers and distributors. Brunswick Corporation was founded in 1845 and is headquartered in Mettawa, Illinois.",USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",NYQ,New York Stock Exchange,United States,IL,Mettawa,60045-3420,http://www.brunswick.com,Mid Cap,,,,,
Brunswick Corporation,"Brunswick Corporation designs, manufactures, and markets recreation products worldwide. It operates through Propulsion; Parts & Accessories; and Boat segments. The Propulsion segment provides outboard, sterndrive, and inboard engines for independent boat builders and governments through marine dealers and distributors, specialty marine retailers, and marine service centers; and propulsion-related controls, rigging, and propellers to original equipment manufacturers and aftermarket retailers, distributors, and distribution businesses. This segment offers its products under the Mercury Marine, Mercury, Mercury MerCruiser, Mariner, Mercury Racing, and Mercury Diesel brands. The Parts & Accessories segment provides engine parts and consumables, electrical products, boat parts and systems, engine oils and lubricants, marine electronics and control systems, instruments, trolling motors, fuel systems, and electrical systems, as well as specialty vehicle, mobile, and transportation aftermarket products for aftermarket retailers, distributors, and distribution businesses, as well for as for the original equipment manufacturers in marine and non-marine markets; and supplies parts and accessories through the distribution business. This segment offers its products under the under the Mercury, Mercury Precision Parts, Quicksilver, and Seachoice brands. The Boat segment provides Sea Ray sport boats and cruisers; Bayliner sport cruisers and runabouts; Boston Whaler fiberglass offshore boats; Lund fiberglass fishing boats; Crestliner, Cypress Cay, Harris, Lowe, Lund, and Princecraft aluminum fishing, utility, pontoon, and deck boats; Heyday tow/wake boats; and Thunder Jet heavy-gauge aluminum boats, as well as shared access boat club and dealer services to the marine industry through dealers and distributors. Brunswick Corporation was founded in 1845 and is headquartered in Mettawa, Illinois.",USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",NYQ,New York Stock Exchange,United States,IL,Mettawa,60045-3420,http://www.brunswick.com,Mid Cap,,,,,
Boise Cascade Company,"Boise Cascade Company manufactures wood products and distributes building materials in the United States and Canada. It operates in two segments, Wood Products and Building Materials Distribution. The Wood Products segment manufactures laminated veneer lumber and laminated beams used in headers and beams; I-joists for residential and commercial flooring and roofing systems, and other structural applications; and structural, appearance, and industrial plywood panels. This segment's products are used in new residential construction, residential repair-and-remodeling markets, light commercial construction, and industrial applications. It sells its products to wholesalers, home improvement centers, retail lumberyards, and industrial converters. The Building Materials Distribution segment distributes a line of building materials, including oriented strand boards, plywood, and lumber; general line items, such as siding, composite decking, doors, metal products, insulation, and roofing; and engineered wood products. This segment sells its products to retail lumberyards, home improvement centers, and specialty distributors. The company was founded in 2004 and is headquartered in Boise, Idaho.",USD,Materials,Materials,Paper & Forest Products,NYQ,New York Stock Exchange,United States,ID,Boise,83702-5389,http://www.bc.com,Mid Cap,US09739D1000,09739D100,BBG003MSHM91,BBG000RQKCR4,BBG001SZX397
BCE Inc.,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. It operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communications products and services. The Bell Wireline segment provides data, including Internet access and Internet protocol television; and local telephone, long distance, satellite TV service, and connectivity, as well as other communications services and products. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers, and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, and streaming services; and digital media, radio broadcasting, out-of-home advertising services. It owns and operates approximately 35 conventional TV stations; 27 specialty and four Pay TV channels; 3 direct-to-consumer streaming services; 109 licensed radio stations; and websites. The company was formerly known as Bell Canada Enterprises Inc. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",USD,Communication Services,Telecommunication Services,Diversified Telecommunication Services,NYQ,New York Stock Exchange,Canada,QC,Verdun,H3E 3B3,http://www.bce.ca,Large Cap,,,BBG000BCXSG5,BBG000BCXNS3,BBG001S5P2C0
Banco de Chile,"Banco de Chile, together with its subsidiaries, provides various banking products and services to customers in Chile. The company operates through four segments: Retail, Wholesale, Treasury, and Subsidiaries. It offers checking accounts, consumer loans, commercial loans, credit cards, credit lines, and mortgage loans. The company also provides liquidity management services, debt instruments, foreign trade, and derivative contracts and leases. In addition, it engages in the management of the investment portfolio, and business of financial transactions and currency trading. Further, the company offers international and treasury banking services; and securities brokerage, mutual fund and investment management, insurance brokerage, and financial advisory services. It serves individuals, small and medium-sized companies, corporate clients, and large companies. The company operates through a network of 1,927 branches and 7,644 ATMs. Banco de Chile was founded in 1855 and is headquartered in Santiago, Chile.",USD,Financials,Banks,Banks,NYQ,New York Stock Exchange,Chile,,Santiago,,http://portales.bancochile.cl,Large Cap,,,,,
The Brink's Company,"The Brink's Company provides secure transportation, cash management, and other security-related services in North America, Latin America, Europe, and internationally. The company offers armored vehicle transportation of valuables; automated teller machine (ATM) management services, such as cash replenishment, replenishment forecasting, cash optimization, ATM remote monitoring, service call dispatching, transaction processing, installation, and first and second line maintenance services; network infrastructure; and cash-in-transit services. It also provides transportation services for diamonds, jewelry, precious metals, securities, bank notes, currency, high-tech devices, electronics, and pharmaceuticals; vault outsourcing and money processing services; and services related to deploying and servicing intelligent safes and safe control devices, as well as cashier balancing, counterfeit detection, account consolidation, electronic reporting, check imaging, and reconciliation services. In addition, the company offers technology applications, including online cash tracking, cash inventory management, and other web-based tools. Further, it provides bill payment acceptance and processing services; prepaid cards and corporate debit cards; and security system design and installation services that include alarms, motion detectors, closed-circuit televisions, and digital video recorders, as well as access control systems comprising card and biometric readers, electronic locks, and turnstiles. Additionally, the company offers monitoring services; and security and guarding services to protect airports, offices, warehouses, stores, and public venues. It serves banks and financial institutions, retailers, government agencies, mints, jewelers, and other commercial operations. The company was formerly known as The Pittston Company and changed its name to The Brink's Company in May 2003. The Brink's Company was founded in 1859 and is headquartered in Richmond, Virginia.",USD,Industrials,Commercial & Professional Services,Professional Services,NYQ,New York Stock Exchange,United States,VA,Richmond,23226-8100,http://www.brinks.com,Mid Cap,US0970231058,97023105,,,
Balchem Corporation,"Balchem Corporation develops, manufactures, and markets specialty performance ingredients and products for the nutritional, food, pharmaceutical, animal health, medical device sterilization, plant nutrition, and industrial markets in the United States and internationally. It operates through three segments: Human Nutrition & Health, Animal Nutrition & Health, and Specialty Products. The Human Nutrition & Health segment supplies ingredients in the food and beverage industry. Its products include spray dried and emulsified powders, extrusion and agglomeration, blended lipid systems, liquid flavor delivery systems, juice and dairy bases, chocolate systems, and cereal systems, as well as ice cream bases and variegates. This segment also offers microencapsulation solutions; and human grade choline nutrients and mineral amino acid chelated products for wellness applications. The Animal Nutrition & Health segment provides microencapsulated products to enhance health and milk production in ruminant animals; chelation technology, which offers enhanced nutrient absorption for various species of production and companion animals; and choline chloride, a nutrient for monogastric animal health. The Specialty Products segment offers ethylene oxide primarily for use in the health care industry; and single use canisters with ethylene oxide for sterilizing re-usable devices. This segment also sells propylene oxide, a fumigant to aid in the control of insects and microbiological spoilage, as well as to reduce bacterial and mold contamination in shell and processed nut meats, processed spices, cacao beans, cocoa powder, raisins, figs, and prunes; and chelated minerals for high value crops. The company sells its products through sales force, independent distributors, and sales agents. Balchem Corporation was incorporated in 1967 and is headquartered in New Hampton, New York.",USD,Materials,Materials,Chemicals,NMS,NASDAQ Global Select,United States,NY,New Hampton,10958,http://www.balchem.com,Mid Cap,US0576652004,57665200,BBG000BCYLD2,BBG000BCY878,BBG001S5P2R4
Barclays PLC,"Barclays PLC, through its subsidiaries, provides various financial products and services in the United Kingdom, rest of Europe, the Americas, Africa, the Middle East, and Asia. The company operates through Barclays UK and Barclays International divisions. It offers financial services, such as retail banking, credit cards, wholesale banking, investment banking, wealth management, and investment management services. The company also engages in securities dealing activities; and issues credit cards. The company was formerly known as Barclays Bank Limited and changed its name to Barclays PLC in January 1985. Barclays PLC was founded in 1690 and is headquartered in London, the United Kingdom.",USD,Financials,Banks,Banks,NYQ,New York Stock Exchange,United Kingdom,,London,E14 5HP,http://www.home.barclays,Large Cap,NO0010950249,,BBG000BCZ4M9,BBG000BCZ341,BBG001S5P2T2
Belden Inc.,"Belden Inc. operates as a signal transmission solutions company in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. It operates in two segments, Enterprise Solutions and Industrial Solutions. The Enterprise Solutions segment offers copper cable and connectivity solutions, fiber cable and connectivity solutions, racks and enclosures, and signal extension and matrix switching systems for use in applications, such as local area networks, data centers, access control, fiber, and home and building automation. It also provides power, cooling, and airflow management products for mission-critical data center operations; and end-to-end copper and fiber network systems, which include cable, assemblies, interconnect panels, and enclosures. This segment serves customers in markets comprising healthcare, education, financial, government, and corporate enterprises, as well as end-markets, including sports venues and academia. The Industrial Solutions segment offers infrastructure components and on-machine connectivity systems; and industrial Ethernet switches, network management software, routers, firewalls, gateways, input/output (I/O) connectors/systems, industrial Ethernet cables, optical fiber industrial Ethernet cables, Fieldbus cables, IP and networking cables, I/O modules, distribution boxes, and customer specific wiring solutions. This segment provides its products for use in industrial automation applications comprising network and fieldbus infrastructure; sensor and actuator connectivity; and power, control, and data transmission; and supplies heat-shrinkable tubing and wire management products to protect and organize wire and cable assemblies. It serves distributors, original equipment manufacturers, installers, and end-users. The company was formerly known as Belden CDT Inc. and changed its name to Belden Inc. in May 2007. Belden Inc. was founded in 1902 and is based in St. Louis, Missouri.",USD,Industrials,Capital Goods,Electrical Equipment,NYQ,New York Stock Exchange,United States,MO,Saint Louis,63105,http://www.belden.com,Mid Cap,,,,,
